,"CountFreq.","Win/Loss",EV,"StandardDeviation",Optimal Bets,Optimal Bets,Custom,,,,,,,,
Count,"CountFreq.","Win/Loss",Std. Error,"StandardDeviation",Exact,Chips,Bets,,,,,,,,
<=-2,13.46%,-2.31%,0.02,1.201,1,15,15,,,,,,,,
-1½,4.73%,-1.31%,0.03,1.189,1,15,15,,,,,,,,
-1,7.48%,-1.08%,0.02,1.186,1,15,15,,,,,,,,
#NAME?,10.17%,-0.81%,0.02,1.183,1,15,15,,,,,,,,
0,29.57%,-0.39%,0.01,1.18,1,15,15,,,,,,,,
½,9.76%,-0.01%,0.02,1.179,1,15,15,,,,,,,,
1,7.22%,0.25%,0.02,1.178,2.51,45,30,,,,,,,,
1½,4.57%,0.50%,0.03,1.177,5.09,75,30,,,,,,,,
2,3.96%,0.81%,0.03,1.175,8.28,120,60,,,,,,,,
2½,2.48%,1.05%,0.04,1.174,9,135,60,,,,,,,,
3,1.89%,1.32%,0.04,1.175,9,135,90,,,,,,,,
3½,1.08%,1.54%,0.06,1.178,9,135,90,,,,,,,,
4,1.34%,1.90%,0.05,1.183,9,135,120,,,,,,,,
4½,0.64%,2.16%,0.08,1.19,9,135,120,,,,,,,,
5,0.51%,2.46%,0.08,1.195,9,135,120,,,,,,,,
5½,0.31%,3.05%,0.11,1.199,9,135,120,,,,,,,,
6,0.28%,3.34%,0.11,1.206,9,135,120,,,,,,,,
6½,0.17%,3.60%,0.15,1.212,9,135,120,,,,,,,,
7,0.12%,4.04%,0.17,1.218,9,135,120,,,,,,,,
7½,0.07%,4.22%,0.22,1.218,9,135,120,,,,,,,,
8,0.09%,4.61%,0.2,1.216,9,135,120,,,,,,,,
8½,0.03%,5.32%,0.33,1.216,9,135,120,,,,,,,,
9,0.03%,5.84%,0.37,1.213,9,135,120,,,,,,,,
9½,0.02%,5.84%,0.48,1.205,9,135,120,,,,,,,,
10,0.01%,5.96%,0.54,1.21,9,135,120,,,,,,,,
10½,0.01%,6.33%,0.7,1.205,9,135,120,,,,,,,,
11,0.01%,6.21%,0.88,1.206,9,135,120,,,,,,,,
11½,0.00%,7.58%,1.09,1.197,9,135,120,,,,,,,,
12,0.00%,7.65%,1.15,1.21,9,135,120,,,,,,,,
12½,0.00%,5.10%,1.86,1.194,9,135,120,,,,,,,,
13,0.00%,7.86%,2.26,1.181,9,135,120,,,,,,,,
13½,0.00%,6.39%,2.91,1.168,9,135,120,,,,,,,,
14,0.00%,10.56%,3.58,1.194,9,135,120,,,,,,,,
14½,0.00%,4.20%,4.73,1.161,9,135,120,,,,,,,,
15,0.00%,7.85%,6.03,1.207,9,135,120,,,,,,,,
15½,,,,,,,120,,,,,,,,
>=16,,,,,,,120,,,,,,,,
,"AverageBet",Results,Results,Results,Std Dev,Std Dev,"Risk ofRuin",Perform,Perform,Perform,Perform,Rounds,Std Err,Std Err,Std Err
Bets,"AverageBet",EV,Win/Rnd,Win/Hour,Round,Hour,"Risk ofRuin",DI,SCORE,CE,CE/WR,N0,%W/L,Win/Hour,SCORE
Optimal,$34.96 ,0.53%,$0.19 ,$14.82 ,$62.44 ,$558.45 ,46.80%,2.97,8.8,($4.68),-0.32,"113,650",0.011,$0.38 ,0.46
Custom,$25.71 ,0.39%,$0.10 ,$8.04 ,$42.23 ,$377.68 ,40.60%,2.38,5.66,($0.88),-0.11,"176,627",0.009,$0.23 ,0.33
