"","CountFreq.","Win/Loss","EV","StandardDeviation","Optimal Bets","Optimal Bets","Custom"
"Count","CountFreq.","Win/Loss","Std. Error","StandardDeviation","Exact","Chips","Bets"
"<=-2","16.52%","-2.55%","0.01"," 1.204 ","1.00","15","15"
"-1½","4.53%","-1.28%","0.03","1.189","1.00","15","15"
"-1","6.99%","-1.05%","0.02"," 1.186 ","1.00","15","15"
"-½","9.42%","-0.77%","0.02","1.183","1.00","15","15"
"0","26.19%","-0.39%","0.01"," 1.180 ","1.00","15","15"
"½","9.07%","0.00%","0.02","1.179","1.00","15","15"
"1","6.77%","0.26%","0.02"," 1.178 ","1.52","30","30"
"1½","4.39%","0.53%","0.03","1.177","3.12","45","45"
"2","4.13%","0.85%","0.03"," 1.175 ","5.07","75","75"
"2½","2.53%","1.07%","0.04","1.174","6.35","90","90"
"3","2.26%","1.39%","0.04"," 1.176 ","8.25","120","120"
"3½",".99%","1.54%","0.06","1.178","9.00","135","135"
"4","1.71%","1.93%","0.04"," 1.182 ","9.00","135","135"
"4½",".97%","2.30%","0.06","1.187","9.00","135","135"
"5",".76%","2.50%","0.06"," 1.192 ","9.00","135","135"
"5½",".50%","2.97%","0.08","1.195","9.00","135","135"
"6",".59%","3.29%","0.07"," 1.200 ","9.00","135","135"
"6½",".29%","3.74%","0.10","1.208","9.00","135","135"
"7",".36%","3.97%","0.09"," 1.208 ","9.00","135","135"
"7½",".08%","4.29%","0.20","1.218","9.00","135","135"
"8",".28%","4.55%","0.11"," 1.210 ","9.00","135","135"
"8½",".15%","5.20%","0.14","1.211","9.00","135","135"
"9",".11%","5.17%","0.17"," 1.208 ","9.00","135","135"
"9½",".07%","5.63%","0.21","1.209","9.00","135","135"
"10",".10%","6.15%","0.17"," 1.208 ","9.00","135","135"
"10½",".03%","6.75%","0.32","1.202","9.00","135","135"
"11",".07%","6.75%","0.22"," 1.206 ","9.00","135","135"
"11½",".004%","7.77%","0.91","1.197","9.00","135","135"
"12",".05%","6.94%","0.26"," 1.202 ","9.00","135","135"
"12½",".02%","8.18%","0.40","1.196","9.00","135","135"
"13",".02%","8.52%","0.42"," 1.198 ","9.00","135","135"
"13½",".01%","7.34%","0.59","1.189","9.00","135","135"
"14",".02%","8.80%","0.44"," 1.195 ","9.00","135","135"
"14½",".002%","9.60%","1.22","1.202","9.00","135","135"
"15",".01%","8.23%","0.56"," 1.188 ","9.00","135","135"
"15½","","","","","","",""
">=16",".02%","10.24%","0.44"," 1.181 ","9.00","135","135"
"","AverageBet","Results","Results","Results","Std Dev","Std Dev","Risk ofRuin","Perform","Perform","Perform","Perform","Rounds","Std Err","Std Err","Std Err"
"Bets","AverageBet","EV","Win/Rnd","Win/Hour","Round","Hour","Risk ofRuin","DI","SCORE","CE","CE/WR","N0","%W/L","Win/Hour","SCORE"
"Optimal","$32.72","0.840%","$0.27","$21.98","$57.93","$518.12","27.0%","4.74","22.50","$5.21","0.24","44,436",".010","$0.32","0.66"
"Custom","$32.72","0.840%","$0.27","$21.98","$57.93","$518.12","27.0%","4.74","22.50","$5.21","0.24","44,436",".010","$0.32","0.66"
